index,team_id,score,TeamCapture,NonTeamCapture,job_num,task_num,results_dir,num_rows,align_weight~t~1,autonomy~t~1,avoid_nonteam_weight~t~1,avoid_team_weight~t~1,centroid_weight~t~1,comms_range~t~1,fov_az~t~1,fov_el~t~1,goal_weight~t~1,max_pred_speed~t~1,max_speed~t~1,sphere_of_influence~t~1,motion_model~t~1,vel_max~t~1,motion_model~predator,pitch_rate_max~predator,turn_rate_max~predator,vel_max~predator,align_weight~t~2~predator,allow_prey_switching~t~2~predator,autonomy~t~2~predator,avoid_nonteam_weight~t~2~predator,avoid_team_weight~t~2~predator,capture_range~t~2~predator,centroid_weight~t~2~predator,comms_range~t~2~predator,max_pred_speed~t~2~predator,max_speed~t~2~predator,align_weight~t~3~predator,allow_prey_switching~t~3~predator,autonomy~t~3~predator,avoid_nonteam_weight~t~3~predator,avoid_team_weight~t~3~predator,capture_range~t~3~predator,centroid_weight~t~3~predator,comms_range~t~3~predator,max_pred_speed~t~3~predator,max_speed~t~3~predator
59,3,2.0,0.0,2.0,11073,45,/Users/lauraS/sample-data/2018-02-24_13-55-45_job_11073_task_45/,2.0,12.4317343196,Boids,24.6118880344,7.11071552342,23.4937085158,117,360,360,0.1,20,40,100,Unicycle,30,Unicycle,1.5,2,35,26.1668220842,true,PredatorUnique,35.0918121683,6.27074589449,5,21.9041825069,331,49,43,18.0788011737,false,PredatorUnique,26.1658322168,35.7168695856,5,43.5105373508,104,27,25
60,2,24.0,0.0,24.0,11073,46,/Users/lauraS/sample-data/2018-02-24_13-55-45_job_11073_task_46/,2.0,24.2134671168,Boids,14.421476619,42.6410773761,14.6157470692,136,360,360,0.1,44,27,100,Unicycle,30,Unicycle,1.5,2,35,1.27178704768,true,PredatorUnique,11.7496074874,30.0286516863,5,49.2208404929,734,42,27,30.7207210242,false,PredatorUnique,44.2766618839,25.4449207869,5,12.7033953642,134,30,25
61,3,4.0,0.0,4.0,11073,46,/Users/lauraS/sample-data/2018-02-24_13-55-45_job_11073_task_46/,2.0,24.2134671168,Boids,14.421476619,42.6410773761,14.6157470692,136,360,360,0.1,44,27,100,Unicycle,30,Unicycle,1.5,2,35,1.27178704768,true,PredatorUnique,11.7496074874,30.0286516863,5,49.2208404929,734,42,27,30.7207210242,false,PredatorUnique,44.2766618839,25.4449207869,5,12.7033953642,134,30,25
62,2,8.0,0.0,8.0,11073,47,/Users/lauraS/sample-data/2018-02-24_13-55-45_job_11073_task_47/,2.0,9.58227511372,Boids,46.4175951007,5.40190245118,10.1249113591,681,360,360,0.1,44,25,100,Unicycle,30,Unicycle,1.5,2,35,9.60374397947,true,PredatorUnique,20.9133410386,49.4979666369,5,28.1324101886,396,36,22,23.6155475815,false,PredatorUnique,15.9327327332,43.8906925645,5,19.8519860525,138,39,30
63,3,33.0,0.0,33.0,11073,47,/Users/lauraS/sample-data/2018-02-24_13-55-45_job_11073_task_47/,2.0,9.58227511372,Boids,46.4175951007,5.40190245118,10.1249113591,681,360,360,0.1,44,25,100,Unicycle,30,Unicycle,1.5,2,35,9.60374397947,true,PredatorUnique,20.9133410386,49.4979666369,5,28.1324101886,396,36,22,23.6155475815,false,PredatorUnique,15.9327327332,43.8906925645,5,19.8519860525,138,39,30
64,2,13.0,0.0,13.0,11073,48,/Users/lauraS/sample-data/2018-02-24_13-55-45_job_11073_task_48/,2.0,23.2591633739,Boids,19.9274188764,49.3397545841,45.9980043658,801,360,360,0.1,35,12,100,Unicycle,30,Unicycle,1.5,2,35,25.7423846903,true,PredatorUnique,32.8471001269,44.7188124526,5,4.94422743208,111,34,44,20.4084176758,false,PredatorUnique,49.5114238411,37.7608268023,5,3.29831901355,342,33,46
65,3,16.0,0.0,16.0,11073,48,/Users/lauraS/sample-data/2018-02-24_13-55-45_job_11073_task_48/,2.0,23.2591633739,Boids,19.9274188764,49.3397545841,45.9980043658,801,360,360,0.1,35,12,100,Unicycle,30,Unicycle,1.5,2,35,25.7423846903,true,PredatorUnique,32.8471001269,44.7188124526,5,4.94422743208,111,34,44,20.4084176758,false,PredatorUnique,49.5114238411,37.7608268023,5,3.29831901355,342,33,46
66,2,3.0,0.0,3.0,11073,49,/Users/lauraS/sample-data/2018-02-24_13-55-45_job_11073_task_49/,2.0,14.0325319835,Boids,22.8567979761,48.1634213817,42.1908451838,978,360,360,0.1,25,29,100,Unicycle,30,Unicycle,1.5,2,35,6.01156382474,true,PredatorUnique,11.7663652692,49.3954996805,5,28.9779298515,219,31,23,1.6639559045,false,PredatorUnique,43.8343797294,19.5071356519,5,1.17906261032,246,18,14
67,3,1.0,0.0,1.0,11073,49,/Users/lauraS/sample-data/2018-02-24_13-55-45_job_11073_task_49/,2.0,14.0325319835,Boids,22.8567979761,48.1634213817,42.1908451838,978,360,360,0.1,25,29,100,Unicycle,30,Unicycle,1.5,2,35,6.01156382474,true,PredatorUnique,11.7663652692,49.3954996805,5,28.9779298515,219,31,23,1.6639559045,false,PredatorUnique,43.8343797294,19.5071356519,5,1.17906261032,246,18,14
68,2,1.0,0.0,1.0,11073,5,/Users/lauraS/sample-data/2018-02-24_13-55-45_job_11073_task_5/,2.0,31.3724847222,Boids,23.1232910048,6.28821025372,17.9805278913,686,360,360,0.1,14,44,100,Unicycle,30,Unicycle,1.5,2,35,14.4854278637,true,PredatorUnique,12.8574577607,30.2364891939,5,19.3528490994,112,11,38,43.1767632578,false,PredatorUnique,18.8781346369,30.9454671314,5,21.595487966,738,12,38
