index,team_id,score,TeamCapture,NonTeamCapture,job_num,task_num,results_dir,num_rows,align_weight_t_1,autonomy_t_1,avoid_nonteam_weight_t_1,avoid_team_weight_t_1,centroid_weight_t_1,comms_range_t_1,fov_az_t_1,fov_el_t_1,goal_weight_t_1,max_speed_t_1,sphere_of_influence_t_1,motion_model_t_1,turn_rate_max_t_1,vel_max_t_1,motion_model_predator,pitch_rate_max_predator,turn_rate_max_predator,vel_max_predator,allow_prey_switching_t_2_predator,autonomy_t_2_predator,max_speed_t_2_predator
88,1,0.0,0.0,0.0,42260,56,2018-04-24_23-57-29_job_42260_task_56,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
89,2,7.0,0.0,7.0,42260,56,2018-04-24_23-57-29_job_42260_task_56,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
90,1,0.0,0.0,0.0,42260,57,2018-04-24_23-57-29_job_42260_task_57,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
91,2,10.0,0.0,10.0,42260,57,2018-04-24_23-57-29_job_42260_task_57,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
92,1,0.0,0.0,0.0,42260,59,2018-04-24_23-57-29_job_42260_task_59,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
93,2,10.0,0.0,10.0,42260,59,2018-04-24_23-57-29_job_42260_task_59,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
94,1,0.0,0.0,0.0,42260,6,2018-04-24_23-57-29_job_42260_task_6,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
95,2,12.0,0.0,12.0,42260,6,2018-04-24_23-57-29_job_42260_task_6,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
96,1,0.0,0.0,0.0,42260,60,2018-04-24_23-57-29_job_42260_task_60,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
97,2,5.0,0.0,5.0,42260,60,2018-04-24_23-57-29_job_42260_task_60,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
98,1,0.0,0.0,0.0,42260,62,2018-04-24_23-57-29_job_42260_task_62,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
99,2,10.0,0.0,10.0,42260,62,2018-04-24_23-57-29_job_42260_task_62,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
100,1,0.0,0.0,0.0,42260,8,2018-04-24_23-57-29_job_42260_task_8,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
101,2,10.0,0.0,10.0,42260,8,2018-04-24_23-57-29_job_42260_task_8,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
102,1,0.0,0.0,0.0,42260,9,2018-04-24_23-57-29_job_42260_task_9,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
